fdf,fdfdf
"CHML not provided- the special meal was not loaded, the parent of the customer was upset.",Catering-Food-SPML Not Provided
CHML not provided.Mr palil claim that on his last sector he receives Two CHML however under his profile It shows One CHML as well as on the PIL.,Catering-Food
CHML ODER -REQUESTMrs.Pourimani would like to order a CHML for her next flights she claimed she was allergic to pepper and spices.,Catering-Food
CHML provided for Dinner was same as for Lunch.- During 2nd service (Dinner) customers alerted me that child meal menu is same as for the 1st service during (Lunch).- Some customer seemed unamused.,Catering-Food
CHML REQUEST,Catering-Food
CHML request - Please remove AVML from customer profile and replace it with CHML as per customer request.,Catering-Food-SPML Request/cancel
CHML request - Please remove AVML from customer's profile and replace it with CHML as per customer request.,Catering-Food-SPML Request/cancel
CHML REQUEST -Customer brought to my attention that a CHML is needed for the next flights.,Catering-Food
"CHML Request -Miss Alamri told cabin supervisor Noreen 'my child is hungry , she wants her child meal'.-Cabin supervisor Noreen told Miss Alamri' certainly , I will just check if you ordered for the meal and I will deliver it to you as soon as possible'.-After checking the PIL, cabin supervisor showed Miss Alamri that there was no CHML request indicated.-Miss Alamri told Noreen that her husband ordered the special meal.-Cabin supervisor Nureen said that 'Maybe your husband forgot to order or maybe it could have been a mistake with the system, however I will offer you the meal we have in the menu'.-Miss Alamri choose the chicken for her child.",Catering-Food
"CHML REQUEST BY MISS QUAIDER- During this flight, Miss Quaider, requested for CHML.- Confirmation was taken from her mother who was flying on board",Catering-Food
CHML request cancellation.,Catering-Food-SPML Request/cancel
CHML request to be cancelled.,Catering-Food-SPML Request/cancel
CHML request- Miss. Bianca Savartangeletti seat 3A would like to request child meal (CHML) for her next connecting flight DXB-CDG.,Catering-Food
CHML request- Mr. Krause requested to have a CHML for all his onward flights.,Catering-Food
CHML request- please provide customer with CHML.,Catering-Food-SPML Request/cancel
CHML request- please provide customer with CHML/AVML for further EK flights.,Catering-Food
"CHML Request-Mr Pasha's parents informed me that his son does not eat soft baby meal but instead eat solids such as pasta, minced beef like CHML-They requested if possible to have CHML instead of BBML for returning sector",Catering-Food
CHML request-On customer's request kindly please provide a CHML for any future flights.ehtfr@yahoo.fr,Catering-Food
CHML REQUEST-Pax would like to request CHML meals for the children travelling with them on the same ref.-Pax showed confirmation of their request made via agent on their itinerary.,Catering-Food
CHML request.,Catering-Food
CHML request.,Catering-Food
CHML Request.- Customer wants to have child meal on her next flight.,Catering-Food
CHML request.- Please provide CHML for all future flights.,Catering-Food
CHML requestPlease arrange a CHML for the customer,Catering-Food-SPML Request/cancel
"CHML The Same From Previous Flight-In both services, many parents preferred to give their kids the normal meal or none at all as they claimed that the present CHML's were the exact same CHML from their previous sector.",Catering-Food
CHML tray was not provided:- There were only two CHML-VEG trays provided for the children of 6D customer which supposed to be three,Catering-Food
CHML trays  appeared too full .Had difficulty  to pull trays out because of the small milk bottles and the small Cereals box .,Catering-Food
"CHML VEG main course had chicken:- The main course of customers at 6A,B,E who ordered for CHML-VEG had chicken in it- The mother of the children asked if there were any pizza or pasta",Catering-Food
CHML VEGCustomer would like to cancel the CHML and request a CHML Veg,Catering-Food
CHML VEGCustomer would like to cancel the CHML and request a CHML Veg,Catering-Food
"CHML was not loaded- the special meal was not provided by the catering, the parent of the customer was upset",Catering-Food-SPML Not Provided
CHML was not provided for this young customer.,Catering-Food
CHML-AVML:- Please provide Mstr. Gupta with Asian Vegetarian Child Meal (CHML-AVML).,Catering-Food
CHML-customer claimed that he had ordered for  CHMLs but only 2 was catered- he was travelling with 3 children and he claimed that all had full paid ticket and not infant ticket.,Catering-Food
CHML-On customer's request kindly please provide one CHML for any future flights.pramu1675@gmail.com,Catering-Food
"CHML, meal option was same for Lunch and Dinner-Mr. VUJCIC informed me that CHML option For lunch and dinner was same, He suggested to give two different option available for CHML.",Catering-Food
"Chml, vgml and avml were loaded for the express service.",Catering-Food
Chocolate cake presentation was not up to standards The cake was smashed and not presentable,Catering-Food
Chocolate cake- Crew ran out of Chocolate cakes. - Two have been refused.,Catering-Food
Chocolate melted in boxThe chocolate box taken from the ambient bar had melted and was now hard when Mrs Margellosinglessis 1A opened the box.,Catering-Food
chocolate tart very popular on this flight - 50% of the cutters wished to have the chocolate tart,Catering-Food
"CHOCOLATE TORTE (DESSERT) UNAVAILABLE- On this flight, we unfortunately run out of Chocolate Torte- Loaded quantity was 14 (for a load of 42, including 7 SPML)- Suggest to review quantity as this is extremely popular",Catering-Food
CHOCOLATES WAS NOT LOADED,Catering-Food
CHOCOLATES: - The fine luxury chocolate was not loaded in the preserves chocolates container.- Only the two staff travellers (3B and 3D) asked for chocolates and we explained to them the issue.- One staff member (Mr Gale at 3B) did ask for the chocolate box,Catering-Food
Choice insufficient- Only one Arabic Mezze starter was catered for a cull load.- 2 customer asked for the mezze,Catering-Food
"CHOICE NOT AVAILABLE-The customer requested sweet potato with their meal.-The request had to be declined, as the sweet potato had already been served to another customer.-Only 1 a la carte vegetables were loaded for a customer load of 12.-The customer was offered any additional veg item that was available, but declined.",Catering-Food
"CHOICE NOT ENOUGH-in economy for 10 crew, 6 Ravioli pumpkin,1salmon and 1chicken.-Most crew are Not vegetarian/vegan and would prefer other options.-only 2 Ravioli and other options would be appreciated.",Catering-Food
Choice of Cheese Omellete was Unavailable for Approximately 10 Customers.,Catering-Food
Choice of Hot Meal Braised Beef With Mashed Potatoes was Unavailable for Approximately Eight Customers.,Catering-Food
CHOICE PERCENTAGE AND OPTION *The choice on the flight was 60% of Mutton curry with rice and the rest Omelette.*However 80% of the  flight were European nationals who did not wish to eat Mutton curry and rice as breakfast for a departure of a 2.30 am flight .,Catering-Food
Choice percentage* There is only one cold plate from breakfast selection and two roasted chicken with thyme from dinner selection catered for customer with a total load of eight in FCL.* Three customer requested for cold plate and three customers requested for roasted chicken during the service.,Catering-Food
Choice ratio:- Catering ratio was 30% Chicken curry and 70% vegetarian.- We did not have chicken for all customers.-I would suggest 40% chicken and 60% vegetarian.,Catering-Food
Choice Shortage of Cheese for DCF orders-pox load: 11-cheese loading: 3 portions-cheese requests: 9,Catering-Food
Choice unavailable -  The popular choice today was the soup and we had insufficient.- Two flasks were loaded for 42 customers.,Catering-Food
Choice unavailable - The catered choice was 25% scrambled eggs and 65% of the omelette and extra veg meals were loaded.- The popular choice was the eggs both scrambled and omelette.,Catering-Food
Choice Unavailable -Customer did not get his meal choice which was the chicken.,Catering-Food
"CHOICE UNAVAILABLE DOSE VEG OPTION- There was 40% choice of the veg meal loaded on board for breakfast , 10 customer did not get the choice",Catering-Food
"CHOICE UNAVAILABLE Mr Turlov seated at 10J wanted the French toast for breakfast , however there was no toast available",Catering-Food
CHOICE UNAVAILABLE- Mr Sankar is upset that he did not receive his AVML. When delivering the tray crew Esther ran out of choice of meal and informed him that she will be right back with him. He claimed that he has ordered it and should be given the priority. - Alternative has been offered to him however he declined it.- We ran out of vegetarian options.,Catering-Food
"CHOICE UNAVAILABLE-Approximately 20 customers did not get their choice of meal.-Passengers meal percentage for dinner service, (first service) and chicken choice was the popular choice.-Catering agent stated that it was  standard loading ordered by Dubai.      90% beef mushroom       10% chicken with rice.",Catering-Food
Choice unavailable-there was at least 10 customer who did not get their choice of meal (stir fried egg noodles). Only 13 noodles was loaded for 52 customer. But there was 23 orders for the choice.,Catering-Food
CHOICE UNAVAILABLE:- It was observed where choices for appetisers and main courses were not enough to accommodate customers' demand.- Carpaccio appetiser and shrimp main course were short by 2 each.,Catering-Food-Choice Unavailable
"CHOICE UNAVAILABLE/INCORRECT MENU- CDG-DXB menu stated for dessert "" Fruit of the forest crumble "".- the dessert on all the meal trays was   "" Triple chocolate torte-brownie sponges "".- only one customer complained and told crew that he can not eat chocolate ( alternative offered, customer gladly accepted). - no other discrepancies.",Catering-Food
"Choice Unavailable>On this flight, there was about 28 customers who did not get their choice of meal.>On todays flight we had chicken cacciatore 70% and braised lamb satay which is 30%.>Perhaps in the future you can load 50/50.",Catering-Food
Classic Omelette-Shortage-Customer load: 03-01 item from each hot meal choice provided.-02 customers requested for the 'Classic Omelette'.-Shortage: 01 item.,Catering-Food
"CLOSEST INDICATOR:Prior to descent, Mr Ghobrial requested a cheese board.As we were serving breakfast, there was only the cold cuts available..",Catering-Food
"CMN STATION CATERING FEEDBACK - No lemon slices were loaded in YC galley;- Hot meals distribution in the ovens was not in accordance with the meal choice percentages. One oven would have 17 Chicken choices and 8 Beef, while another oven would have 20 Beef choices and 5 Chicken.",Catering-Food
Coach roach found in the lay up cart under the multi purpose dish.,Catering-Food
Cockpit crew meals The main mail for cockpit crew were not loaded only BM,Catering-Food
COCKPIT CREW MEALS-Catering did not load meals for cockpit crew-No lunch meals-,Catering-Food
COCKPIT MEALS -BOTH SAME- Both cockpit crew had ordered a Strict Vegetarian Meal and catering had loaded two exact strict vegetarian for them.- This is against safety procedure as they cannot eat the same.,Catering-Food-Crew Meals
"Cockpit meals Both meal were thicken with rice as they can't have the same meal  ,they  should have a different choices",Catering-Food
COGNAC (SHORTAGE)-Hennessy run short as it was popular on today's flight.,Catering-Food
Cold Cuts -Customer requested for Cold Cuts however they had already been taken ( 5 loaded),Catering-Food
"Cold cuts shortage- 1 cold cuts catered for 14 customers- 4 people requested cold cuts, JC used and other options offered",Catering-Food
Cold plate for breakfast* There is only one cold plate catered in FCL for customer load of five.,Catering-Food
"Comments on today's catering-There was no champagne container loaded on RHS.-There was no magic box loaded on RHS.-For a full flight, the nuts packages from the container were not enough for the drinks after take off.-There was not enough soup bowls - we were short of 2-3 soup bowls.",Catering-Food
Complained that the chicken was not good and that we should have more then one choice. He was also asking if he could have food from business or first class.,Catering-Food
"COMPLAINT ON AMARULA-Mr Pohl requested to have Baileys-New product is Amarula-Customer got upset and stated that ""Emirates is saving lots of money on this""",Catering-Food-Feedback
"Complaint re: quality of the First Class meal.- The customer complained that the standard of Emirates food had declined.- He said that the lemon chicken main course was dry, tasteless and rubbery. He said that 'it was like hospital food'.- The customer said that his meal on his previous flight to LHR had been awful too. - The customer asked me to write about the standard of the meals. He said this is not what he expects to receive in First Class.",Catering-Food
COMPLIMENT ON RED WINE- Customer stated that he thoroughly enjoyed the Chateau Leoville Poyferre Saint Julien.- He stated it was a very good selection.,Catering-Food
COMPLIMENT--Customer commented that the Chocolate Brownie dessert was the best he had had on EK,Catering-Food
"Compliments for quality of food.*During canvassing customers -All J/C customers enjoyed their Lunch menu very much .*Customers appreciated -the Mushroom soup -which was very popular ,Lamb shanks and stir fried  prawn with rice and vegetables.",Catering-Food
Compliments for the Lemon Raspberry Tart-Mr Bhadelia told cabin crew Alina that the lemon raspberry tart is very good and he like it very much.,Catering-Food
Compliments on Seafood A' l Armoricaine-Mr Odom told cabin crew Aneela that he enjoyed the seafood meal choice.-Cabin supervisor Noreen noticed that 5 customers who ordered the same choice finished their meal as well.,Catering-Food
COMPLIMENTS ON THE MENUAsian style chicken soupSweetcorn ChowderBeef protein for the saladFeta cheeseCod steakChocolate SouffleBreakfast yogurtsEspresso dessert,Catering-Food
COMPLIMENTS TO THE CHEF: EXCELLENT LAMB ??????????????????Customer made a specific compliment saying how delicious the lamb was.Well done catering team. :))))),Catering-Food
Consumption of ChampagnePls also consider loading small champagne bottle to reduce the wastage.Observed at times when customer load is 1 or 2 pax and if customer request for a champagne we had no other option but to open the big bottle I believe a huge cost saving can be achieved by reducing the wastage of opened champagne bottle that otherwise goes into the galley sink on top of descend.,Catering-Food
"content of BLML tray doesn't match its name- Mr Zanin have ordered BLML.- He almost did not touch it.- Content of the tray did not look like BLML. For starter was green lentil and vegetables salad and 1 whole cherry tomato. In the casserole were rice, green peas and carrots 2 cm in diameter. - Customer did not complain about food. He stated that not hungry as he have eaten a lot in the lounge.- BLML considered as medical meal for elderly or people with gastrointestinal issues.- I think content of the tray should be changed.",Catering-Food
Continental Breakfast Bread Selection* Mrs Pettigrew mentioned that GFML bread selection should not contain oats.* One of the bread rolls contained oats.,Catering-Food
CORKED POMEROL CHATEAU NENIN 1997- Two bottles of the red wine were corked.- Brought to our attention by several customers.,Catering-Food
"CORKED WINE: WHITE WINE -CHABLIS-While offering him to taste the white wine (Chablis), customer felt the wine was corked-At that point of time, no other customer was drinking the same wine (first one to be served)",Catering-Food
"Correct breakfast meals not provided by catering- When doing catering checks, the catering showed us the breakfast meals with.. yellow and red foil and the number of meals was correct;- However, when starting breakfast it turned out that some of the meals with yellow foil were breakfast meals and the majority of meals with yellow foil were chicken meals, same as offered for dinner;- By mistake the catering loaded in the same cart meals with yellow foil and put both dinner and breakfast options;",Catering-Food-Choice Unavailable
"Cost cutting - ObservationIn the present day and time to reduce the cost lot of initiative/changes  from the catering with regards to loading of food quantity are taking placeI'm taking this opportunity to give you some relevant facts about my flight regarding same*****Case A*****# Main meal choice were only catered one of each  , number of customers originally booked ""3"" , so in this case no two customer will be able to order same hot meal choice #Arranging a alternative at times becomes not only challenging but impossible for the crew#A premium cabin on-board customer experience majorly affected#Yes Indeed we saved cost of it----Case B-----Why only reducing meal quantity is only seen as a best opportunity to reduce the cost...?On our flight units of fresh juice provided were as follow1. Orange juice 6-7 bottles2.Carrot juice 2 bottles3.Grapefruit juice 2 bottles4.Fresh detox mix juice 2 bottles5.Banana vanilla smoothie 2 bottles#Grape juice, detox juice are the least popular juice among customer in general on our flightsI request the respective department to initiate an on board survey with premium galley operators to collect data on the unused stock  of fresh juice  on every flight across the network to gain useful insight",Catering-Food
Costumer requested Asian vegetarian meal AVML for future flights,Catering-Food
Costumer requested for Asian Vegetarian meal  AVML for future flights,Catering-Food
Could you please increase the % of Lamb in 5%,Catering-Food-Economy Class-Choice Unavailable
Could you please provide DBML for all future bookings as per Mrs.. Byrne request,Catering-Food
Couple of customers stated that the bread is not well cooked,Catering-Food
CREW CONTAINER - ROTTEN TUNA CAN FOUND:- on ground ex DXB crew opened crew container and found half open tuna can which had bad smell and it looked rotten,Catering-Food-Foreign Object
CREW DRY STORE-Crew dry store was not loaded from DXB-CEB that should be located at L1 galley.,Catering-Food
Crew food items for first class were loaded in business galley,Catering-Food
Crew Hot Meal Feedback - RAVILOI OPTIONExtremely positive feedback on the Pasta option during this cycle. The Pumpkin Ravioli. This is a remarkable improvement to the crew meal offering when compared to the previous white sauce pasta.Thank you.,Catering-Food
"Crew meal cart delivered to the aircraft not chilled:- Catering didn't load crew meal cart before crew arrive to the aircraft-After boarding, crew informed the catering staff that the crew meal cart was missing-Crew meal cart delivered to the aircraft after customer boarding, just before door closure- When I touched the cart it was warm. I opened it to check the quality of the food, it didn't appear to me to be chilled-I mentioned it to the catering staff, she told me that it was stowed in a chilled area, I disagreed.",Catering-Food-Crew Meals
CREW MEAL LOAD-hot meal crew load for 5 people were 3meals...1 was chicken and the other two pumpkin ravioli.-for a 12hour work day. The food for crew is not enough and the options are also not enough.-not all crew are vegetarian and would appreciate other meal options.,Catering-Food
"Crew meal shortage.-Today we were 7 y/C crew.-Only 3 casseroles,3 salads and 3 pies were catered.",Catering-Food
"Crew meals for business class crew and cockpit crew were not loaded in J/C neither in economy cabin.The cockpit crew had one breakfast crew meal each, we didn't have a lunch meal for them nor for the crew.We were loaded of one salad only for 5 crew in business class",Catering-Food
"Crew meals loaded for this flight 3 choices available which are the following,16 Pumpkin ravioli4 Iraqi Biryani1 SalmonNot all the crews were vegetarian nor prefer pasta as their meal choice.It would be great if there was more variety on the crew meal or I would suggest to make it as same as the customers menu choices.",Catering-Food
Crew meals loaded in J class.No vegetarian choice for crew out of all hot meals.,Catering-Food
"Crew meals loaded in MRU had no variety - 75% fish and 25% vegetarian, other choices were not available.",Catering-Food
"CREW MEALS;-crew meals are not enough.-crew meals content; 3 hot meals, one rap, 2 salads 5 yogurt.-Y\C crew are 7 Gr2 + one CSV = 8 persons.-crew meals should be reviewed , quantity and quality.",Catering-Food
Crew Meals:*There was too much of the pumpkin ravioli loaded for crew.*Three in F.C with no other choice of main course.*Four in J/c with only one other choice(Salmon) and same proportion in Y/C.,Catering-Food
Crew member Mussarrat Parveen 409335 found caviar lemon contaminated with FUNGUS.All the three lemons were contaminated.No customer were served the lemons,Catering-Food-Foreign Object
"Crew member Rumaisyah # 445173 noticed that one of the cheese on a dinner tray was a bit musty, tray was returned to galley and item was placed inside the Audit container.",Catering-Food
Crew observed during catering checks that catering was missing the pesto from a return dish and one of the cheeses from one of the return pasta's. There should have been two cheese.There was only one.,Catering-Food
Crew ran out of fruit sticks in J class Lounge.There were no customers complaints received.,Catering-Food
CREW UNHAPPY WITH NO CREW MEAL- All crew was upset that there was only 1 chicken hot meal and 3 chicken basil calzone and 3 small salads for them to eat.,Catering-Food
CROISSANT NOT ENOUGHThis is to inform that for breakfast service only 8 croissants were loaded as part of bread basket service in j/c (4 on each side).Even though we had few DND the cabin was full (42 customers) and the croissant were already finished by the end of the first part of the cabin.Suggestion would be to load extra croissants for breakfast service,Catering-Food
CROISSANT SHORTAGE- Not enough croissant to offer for the all cabin- 5 customers asking for croissant but unable to offer.- Several customers asking for a second croissant.,Catering-Food
"CROISSANTS NOT LOADED- Croissants were in the menu; however, not loaded.- Customers were asking for them.",Catering-Food
"CROISSANTS SHORTAGE- There were 12 croissants catered for the bread basket, and passenger load was full (42).- Croissants were a popular choice and there was a shortage of approximately 6.",Catering-Food
CROISSANTS SHORTAGEWe did run out of croissant during the services.,Catering-Food
CROISSANTS- Not enough croissants to offer every customer from bread basket round.- Completed 75% of cabin before running out.- Recommend loading one extra pack.,Catering-Food
CUCUMBER NOT LOADED FOR LOUNGE- Slice cucumber is not loaded to prepare mocktails. - Used the crew crudites for the mocktails.,Catering-Food
CUCUMBER RIBBONS-It was noticed that the cucumber ribbons were not catered.-New cocktail (cucumber gimlet) could not be created.,Catering-Food
"CUCUMBER SLICES NOT LOADED* cucumber slices for new cocktail "" virgin cucumber gimlet"" not loaded",Catering-Food
Cucumber slices were not loaded.Customers ordering the virgin Cucumber gimlet had to be denied their request.,Catering-Food
Cucumbers' ribbon not loaded.- Cucumber's ribbons were not loaded for the new cocktails.,Catering-Food-Business Class-Choice Unavailable
CUSOMER SAID HE WOULD HAVE LIKED A MIDDLE EASTERN OPTION ADDED TO THE MENU OPTIONS-Customer ordered the soup and he returned it-Customer ordered cod fish and he returned it -Customer ordered chocolate cake and he returned it -When dessert was served to customer he told crew Novianti Santoso s435856 that he did not like any of the options in the menu for Lunch,Catering-Food-Feedback
Customer,Catering-Food
Customer allergic to garlic-Customer claimed that he is allergic to garlic.,Catering-Food
"Customer allergies Customer stated he is allergic to all types of Lentils , Chickpeas and beans .",Catering-Food
Customer appreciation of bread selection- Mr Mann stated the bread was really tasty and the right temperature and texture.- He had bread basket along with his dinner and breakfast services.,Catering-Food
Customer ask to have a AVML in all future flight with emirates.,Catering-Food
Customer ask to have AVML in all future flights with emirates.,Catering-Food
Customer asked crew if nuts were cooked in the food as her daughter is allergic to nuts,Catering-Food
Customer asked for AVML to be available for her on future flights,Catering-Food
Customer asked for GFML to be available for her on her future flights,Catering-Food-SPML Request/cancel
Customer asked for the vegetable lasagne for his two daughters.We only had two of each meal choice provided by catering.One was already served.Explained  we only had one.Customer asked how come its FC and we don't have meal choice of his daughters.,Catering-Food
Customer asked us if we have meals with no diary products.-Please add a NLML under her profile for future flight,Catering-Food
Customer bas requested Fruit platter special meal for future flights,Catering-Food
"Customer brought to our attention that she pre-ordered Kosher meal, however this is not reflecting on our PIL nor KIS tablet, therefore it w's not loaded.",Catering-Food
Customer Child Meal not Provided/Child meal requestCustomer's mother claimed that she requested a child meal for her daughter on the previous flight and that a note was left on the system regarding her request.Customer said that she requested for a CHML because her daughter had an allergic reaction to a cashew nut from the normal meal on her previous flight.,Catering-Food
"Customer Claimed A Hair Strand in Her Tray- During the lunch service, Ms. Saliao asked a crew to replace her casserole with another meal.- When asked what's wrong with her Cod Yakisoba, she claimed that she saw a strand of hair in the casserole.",Catering-Food
Customer claimed he found a foreign object in his dessert (Apple tart). Customer claimed the object was like a small stick i.e. a piece of straw.- Unfortunately a crew member disposed of the desert before CSV and purser could raise a FO report and place it in the FO container.,Catering-Food
"Customer claimed he found a staple in the CHML, located under the dessert inside the bowl.",Catering-Food
CUSTOMER CLAIMED HE FOUND HAIR IN HIS SALAD DURING LUNCH- Customer called me and showed me a piece of hair in his salad bowl on his lunch tray.,Catering-Food
Customer claimed he had found a black speak in his food.It was to small to put in the audit container,Catering-Food
"Customer claimed he ordered an AVML option. This was not provided.Customer chose to eat only the meal tray, minus the hot meal option.",Catering-Food
Customer claimed he requested for AVML but was not available.,Catering-Food
Customer claimed he requested for DBMLPlease order DBML for any of his future flight,Catering-Food
Customer claimed she booked for a GFML before the flight which was not provided.Please try to provide it for her next flight.,Catering-Food
Customer claimed she booked for a VGML before the flight which was not provided.Please try to provide it for her next flight.,Catering-Food
Customer claimed she did not request for a CHMLCustomer's father was upset why the daughter was provided with a CHML and she s 17yrs oldCustomer claimed he id not order for the special meal and he had booked the ticket himself and not agent.Customer asked for the special meal to be cancelled from her profile.,Catering-Food
"Customer claimed she found hair in foodDuring the lunch service Miss Sterling, called the attention of crew , she had found a string of hair in her meal.Complained she was also unhappy because her flight from Perth from Perth was delayed twenty four hours before our flight.",Catering-Food
"Customer claimed she had pre-ordered a vegetarian meal.-Miss Zagers claimed she had pre-ordered a vegetarian meal, however, there was no record of her request on the KIS/PIL.-Customer refused to eat anything with meat or fish.-PLEASE REQUEST VGML FOR ALL REMAINING SECTORS.",Catering-Food
Customer claimed she ordered for Avml and she requested to update her profile,Catering-Food
"Customer claimed she ordered VGML during the service.- Mrs Thode approached the cabin crew and requested for a VGML that she claimed she ordered. When double checking in her profile in the KIS tablet, it was noted that she has VGML as preferred meal, however it was not shown in the PIL that any requests had been made.",Catering-Food
CUSTOMER CLAIMED SHE REQUESTED FOR VGML BUT WAS NOT ON THE RECORD. SHE WANT VGML FOR HER NEXT FLIGHT TO DEL,Catering-Food
Customer claimed she requires a VGML for her future flights,Catering-Food-SPML Request/cancel
Customer claimed she'd ordered an AVML but none was provided,Catering-Food
Customer Claimed that he ordered AVML-Customer told cabincrew Kirti that he ordered AVML but did not received it.-Kirti explained to the customer that his order was not indicated in the PIL thus the AVML was not loaded by catering.,Catering-Food
Customer Claimed That He Requested VGML,Catering-Food
Customer claimed that she had ordered a vegetarian meal.She stated that she got vegetarian meal on her previous flight DAR -DXB.,Catering-Food
Customer claimed that she had ordered GFML but it was not shown on PIL.,Catering-Food
"Customer claimed that she ordered the AVML, but she had the VGML instead, can you please change it to AVML under her name.",Catering-Food
Customer claimed that she request for vegetarian special meal however we did not received any SPML on her name.-Customer wants AVML as her meal choice for her future flights.,Catering-Food
"CUSTOMER CLAIMED THE VEAL WAS ""VERY CHEWY AND TOUGH"".",Catering-Food
Customer claimed there was a hair inside of his yoghurt.The hair was found in what a customer claimed was a sealed yoghurt pot.The hair was found on the surface of the yoghurt and was not fully covered by yoghurt.The hair matched the colour of the customers hair. It was noted by crew that the yoghurts are filled by a machine with little or no human interaction. And given the various states of travel the yoghurt had encountered. It was not likely that the hair was already inside of the yoghurt and on the surface. It was noted the hair was not submerged. However. Obviously the customer claimed it was there when he opened the yoghurt. And the yoghurt was replaced with an apology.,Catering-Food
Customer claimed to have ordered a GFML-Miss Hillmanharrigan claimed to have ordered a 'Gluten free/Diabetic meal'-Neither meal was recorded on the KIS or the PIL,Catering-Food
"Customer claimed to have requested a VGML meal however, the meal was not loaded. Kindly request a VGML for customers on going journey.",Catering-Food
Customer claimed travel agent was unable to book Vegetarian Meal (VGML)- During boarding Mr Clarke requested if it would be possible to arrange a vegetarian meal for him as his travel agent was unable to request it when booking the flight.- Please kindly change Mr Clarke's meal preference to Strict Vegetarian (VGML).,Catering-Food-SPML Not Provided
"Customer claims he requested AVML.- When conducting the service, Mr Mesbah claimed that he had ordered AVML. It was not offered to him as there were no such indications of the request in the PIL nor the KIS tablet.",Catering-Food
"Customer claims that he is a vegetarian and want to order a VGML meal on her next journeys on EK network, Kindly reserve the VGML on her next journeys. .",Catering-Food-SPML Request/cancel
Customer claims that non lactose meal made him vomit during the flight.,Catering-Food
"Customer claims that she is a vegetarian and want to order a VGML meal on her next journeys on EK network, Kindly reserve the VGML on her next journeys.",Catering-Food-SPML Request/cancel
"Customer claims that's LB service is very poor-nothing to eat.Mr Abuja had HNML preordered however he didn't want to  have it, he preferred choice from menu. He was asked if he wants to cancel it- offer declined.After breakfast service (during clearance) customer asked if there are any snacks for him-he was offered savoury crackers along with Jack Daniels and soda water.During LB service Mr Ahuja had his HNML sandwich and he claimed it is very poor service.During the flight Mr Abuja constantly asked for snacks and he was offered savory crackers, bananas and empanadas from LB service.",Catering-Food
Customer claims to be a Vegetarian. kindly provide her a VGML on her next journeys on EK network.As her next journey is MAA and it has veg and non veg choices.,Catering-Food-SPML Request/cancel
"Customer claims to be a VGML not BLML , kindly correct in the system so on her next journeys she can also enjoy her requested meal.",Catering-Food-SPML Incorrect
"CUSTOMER COMMENTED ON J CLASS HOT MEAL PRESENTATION-During dinner service there were 2 customers (11K and 11J ) commented that the Coconut Beef short ribs served with mashed potatoes and sauteed Asian greens presentation was not really appealing, but it taste good.",Catering-Food
Customer commented that the dessert Chocolate Cake with apricot sauce was hard and frozen.,Catering-Food-Quality
Customer complain about meal choice not being available during first service.,Catering-Food-Choice Unavailable
"CUSTOMER COMPLAINED ABOUT HAVING DIRTY CUTLERIES - During the service, the customer informed the cabin crew that his cutleries are dirty.",Catering-Food
"CUSTOMER COMPLAINED ABOUT THE SMALL PORTION- After the lunch service Ms Mifsud complained, that the portion of her non lactose meal is much smaller than the portion of a regular meal, and asked for another meal.- The customer said, that her meal is always much smaller than the regular meal portion, and she ends up hungry on every flight.",Catering-Food
Customer complained of being offered BLML yet he had cancelled it Please with immediate effect remove the SPML from profile,Catering-Food
CUSTOMER COMPLAINED OF THE APPEARANCE OF THE CUTLERIES- During the service Mr. Palmer complained about the appearance of the cutleries - The fork had a metal between the teeth.,Catering-Food
Customer complained that the AVML (Light Bites) was not AVML. She said it was VGML.,Catering-Food-SPML Quality/Content
"Customer complained that the food served on board is bland- After the Lunch Service customer complained to one of the cabin crew members that the food on board was bland.- Customer said that the beef option that she had for the main course lacked of flavour, salt and other condiments.",Catering-Food
customer complained that the mushroom soup is way too salty and she couldn't eat it.,Catering-Food
Customer complained to crew of a strand of hair in her omelette hot meal during the breakfast service,Catering-Food
"Customer complained.- Mr Albedwawi stated that he has found a hair in his meal.- The hair was very long and was only a small part in the meal and the rest outside. At a first look it seemed that it actually felt down from the person seating next to him, however we did not discussed the matter with the customer and we treated it as per the procedure.",Catering-Food
"Customer complaint - foreign objectCustomer complained about the cheese snack from the dinner tray, when opening the cheese packet mould was found on the cheese covering one end of the cheese block.",Catering-Food
"Customer complaint - foreign objectCustomer complained about the cheese snack from the dinner tray, when opening the cheese packet mould was found on the cheese covering one end of the cheese block.",Catering-Food
CUSTOMER COMPLAINT - NO CANAPES ON THE MENU - Mr Hawes was not happy that there were no canapés available on today's menu. - The dinner menu was a shorthand menu as it was a night flight.  Only one soup for example,Catering-Food-Feedback
Customer complaint -Customers who had travelled from Dubai to Brisbane and were continuing to Auckland were upset that we were offering the exact same breakfast options as they were served on the previous sector.-They said as the flight was a continuation there should be more catering options for customers connecting all the way through,Catering-Food
Customer complaint about fish being always his meal option for his special meal request.,Catering-Food
CUSTOMER COMPLAINT REGARDING FOOD QUALITY- Mr. Wilkinson informed us that he has been very disappointed with the fact that it is the same meal choice being offered for a long time now. He also stated that the food quality has gone significantly down. He believes that this is quite disappointing and says that he has written to the company himself without getting an answer.,Catering-Food
